date, isolamento_domiciliare
2020-01-22,4928
2020-01-23,8420
2020-01-24,13967
2020-01-25,22210
2020-01-26,30453
2020-01-27,44132
2020-01-28,59990
2020-01-29,81947
2020-01-30,102427
2020-01-31,118478
2020-02-01,137594
2020-02-02,152700
2020-02-03,171329
2020-02-04,185555
2020-02-05,186354
2020-02-06,186045
2020-02-07,189660
2020-02-08,188183
2020-02-09,187518
2020-02-10,187728
2020-02-11,185037
2020-02-12,181386
2020-02-13,177984
2020-02-14,169039
2020-02-15,158764
2020-02-16,150539
2020-02-17,141552
2020-02-18,135881
2020-02-19,126363
2020-02-20,120302
2020-02-21,113564
2020-02-22,106089
2020-02-23,97481
2020-02-24,87902
2020-02-25,79108
2020-02-26,71572
2020-02-27,65225
2020-02-28,58233
2020-02-29,51856
2020-03-01,46219
2020-03-02,40651
2020-03-03,36432
2020-03-04,32870
2020-03-05,29896
2020-03-06,26730
2020-03-07,23074
2020-03-08,20146
2020-03-09,16982
2020-03-10,14607
2020-03-11,13701
2020-03-12,12161
2020-03-13,10879
2020-03-14,10189
2020-03-15,9582
2020-03-16,9351
2020-03-17,9222
2020-03-18,9144
2020-03-19,8989
