Date,L'Aquila,Chieti,Pescara,Teramo,Liguria da aggiornare,Matera,Potenza,Liguria da aggiornare__1,Catanzaro,Cosenza,Crotone,Reggio-Calabria,Vibo-Valentia,Liguria da aggiornare__2,Avellino,Benevento,Caserta,Napoli,Salerno,Liguria da aggiornare__3,Bologna,Ferrara,Forli-Cesena,Modena,Parma,Piacenza,Ravenna,Reggio-Emilia,Rimini,Liguria da aggiornare__4,Gorizia,Pordenone,Trieste,Udine,Liguria da aggiornare__5,Frosinone,Latina,Rieti,Roma,Viterbo,Liguria da aggiornare__6,Genova,Imperia,La-Spezia,Savona,Liguria da aggiornare__7,Bergamo,Brescia,Como,Cremona,Lecco,Lodi,Mantova,Milano,Monza-Brianza,Pavia,Sondrio,Varese,Liguria da aggiornare__8,Ancona,Ascoli-Piceno,Fermo,Macerata,Pesaro-Urbino,Liguria da aggiornare__9,Campobasso,Isernia,Liguria da aggiornare__10,Alessandria,Asti,Biella,Cuneo,Novara,Torino,Verbano-Cusio-Ossola,Vercelli,Liguria da aggiornare__11,Bari,Barletta-Andria-Trani,Brindisi,Foggia,Lecce,Taranto,Liguria da aggiornare__12,Cagliari,Nuoro,Oristano,Sassari,Sud Sardegna,Liguria da aggiornare__13,Agrigento,Caltanissetta,Catania,Enna,Messina,Palermo,Ragusa,Siracusa,Trapani,Liguria da aggiornare__14,Arezzo,Firenze,Grosseto,Livorno,Lucca,Massa-Carrara,Pisa,Pistoia,Prato,Siena,Liguria da aggiornare__15,Bolzano,Trento,Liguria da aggiornare__16,Perugia,Terni,Liguria da aggiornare__17,Aosta,Belluno,Padova,Rovigo,Treviso,Venezia,Verona,Vicenza,Liguria da aggiornare__18
2020-02-24,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,4,14,0,0,0,NA,0,0,0,0,NA,0,0,0,3,0,NA,0,0,0,0,NA,37,6,0,36,0,72,0,6,0,10,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,14,0,8,5,0,0,NA
2020-02-25,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,6,20,0,0,0,NA,0,0,0,0,NA,0,0,0,3,0,NA,0,0,0,1,NA,46,12,0,48,0,96,1,12,3,19,0,1,NA,0,0,0,0,0,NA,0,0,NA,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,0,23,0,13,7,0,0,NA
2020-02-26,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,2,10,34,0,0,1,NA,0,0,0,0,NA,0,0,0,3,0,NA,1,0,0,10,NA,51,16,0,51,0,102,1,13,3,21,0,1,NA,0,0,0,0,1,NA,0,0,NA,0,3,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,1,38,0,18,11,2,1,NA
2020-02-27,0,0,0,1,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,3,0,NA,1,0,0,4,23,66,0,0,3,NA,0,0,0,0,NA,0,0,0,3,0,NA,1,1,1,16,NA,77,29,0,73,1,147,1,32,3,38,1,1,NA,0,0,0,0,3,NA,0,0,NA,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,4,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,NA,1,0,NA,0,0,NA,0,1,53,0,26,13,2,1,NA
2020-02-28,0,0,0,1,NA,0,0,NA,0,1,0,0,0,NA,0,0,0,4,0,NA,1,0,0,7,39,91,0,2,5,NA,0,0,0,0,NA,0,0,0,3,0,NA,1,1,1,16,NA,108,36,0,96,1,184,1,43,4,56,1,1,NA,0,0,0,0,6,NA,0,0,NA,0,8,0,0,0,2,1,0,NA,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,0,0,0,0,4,0,0,0,NA,0,3,0,0,0,2,0,1,0,2,NA,1,0,NA,0,0,NA,0,1,81,0,40,24,3,2,NA
2020-02-29,0,0,0,2,NA,0,0,NA,0,1,0,0,0,NA,0,0,0,13,0,NA,1,0,0,15,51,138,0,4,8,NA,0,0,0,0,NA,0,0,0,6,0,NA,1,1,1,16,NA,116,41,0,111,1,223,1,51,4,65,1,1,NA,0,0,0,0,11,NA,0,0,NA,0,8,0,0,0,2,1,0,NA,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,0,0,0,0,4,0,0,0,NA,0,4,0,0,0,2,0,1,0,2,NA,1,0,NA,0,0,NA,0,1,103,0,51,31,3,2,NA
2020-03-01,0,0,0,5,NA,0,0,NA,0,1,0,0,0,NA,0,0,0,17,0,NA,2,0,0,21,56,186,1,6,13,NA,0,0,5,1,NA,0,0,0,6,0,NA,1,1,1,16,NA,198,56,2,195,2,347,3,74,7,94,3,3,NA,1,0,0,0,24,NA,0,0,NA,1,34,0,0,3,6,4,1,NA,0,0,0,0,0,3,NA,0,0,0,0,0,NA,0,0,1,0,0,6,0,0,0,NA,0,4,0,0,0,3,0,1,0,3,NA,1,0,NA,1,1,NA,0,3,134,0,69,47,2,3,NA
2020-03-02,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,3,0,1,29,61,212,2,8,19,0,0,0,9,0,0,0,0,0,7,0,0,1,1,1,16,3,243,60,2,223,3,384,5,58,8,83,3,4,178,2,0,0,0,33,0,0,0,0,0,37,0,0,3,6,4,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,1,4,0,0,1,3,0,1,0,3,0,1,0,0,1,1,0,0,3,135,0,72,48,8,3,4
2020-03-03,1,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,30,0,0,6,0,1,33,84,256,2,14,24,0,3,0,2,8,0,0,0,0,14,0,0,1,2,1,20,0,372,86,4,287,4,482,15,93,9,122,3,7,36,5,0,0,1,55,0,3,0,0,1,40,0,0,3,7,4,1,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,2,7,0,0,3,3,0,1,0,3,0,1,4,0,1,1,6,0,5,144,1,82,48,17,5,5
2020-03-04,1,0,1,3,2,0,1,0,0,1,0,0,0,0,0,0,0,17,0,14,11,0,2,41,115,319,2,20,33,1,5,0,5,8,0,1,0,0,29,0,0,1,2,1,19,3,423,127,5,333,5,559,22,145,11,126,4,11,49,9,0,1,2,72,0,3,0,0,16,41,0,0,3,12,5,3,3,2,1,0,2,1,3,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,14,2,12,0,3,3,4,2,1,1,10,0,1,5,0,6,3,0,0,7,162,4,86,59,21,10,11
2020-03-05,1,2,1,4,0,0,1,0,2,1,0,1,0,0,0,0,0,17,0,28,19,0,4,45,150,378,3,31,68,0,5,0,5,11,0,1,0,0,42,0,1,1,2,1,20,4,537,155,11,406,8,658,26,197,19,151,4,17,62,19,0,3,2,100,0,7,0,0,22,43,2,0,3,19,5,8,6,2,1,0,7,1,3,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,14,5,20,2,3,6,6,5,1,1,12,0,1,7,0,6,3,0,2,7,175,5,89,73,25,19,14
2020-03-06,1,3,1,4,0,1,2,0,2,1,0,1,0,0,0,0,0,17,0,40,41,1,3,73,181,426,8,44,93,0,6,0,7,18,0,1,2,0,49,2,0,9,3,1,15,4,623,182,11,452,11,739,32,267,20,180,4,23,68,23,0,3,7,126,0,12,0,0,32,47,3,1,4,34,9,7,6,3,1,0,7,3,3,0,3,2,0,0,0,0,0,0,15,1,0,5,1,2,0,0,7,23,2,5,8,10,8,1,1,14,0,4,10,0,10,6,0,7,7,198,5,103,85,42,24,24
