time,susc_not_ill,recovered,quarantined,hp_symptoms,hp_intensive,deceased
1,10060574,0,71,76,19,6
2,10060506,0,127,79,25,9
3,10060488,0,145,79,25,9
4,10060343,40,136,172,41,14
5,10060215,40,192,235,47,17
6,10060131,40,216,256,80,23
7,10059762,73,375,406,106,24
8,10059492,139,472,478,127,38
9,10059226,139,461,698,167,55
10,10058926,250,411,877,209,73
11,10058495,376,364,1169,244,98
12,10058134,469,77,1622,309,135
13,10057326,524,722,1661,359,154
14,10056557,550,756,2217,399,267
15,10055277,646,1248,2802,440,333
16,10054955,896,642,3319,466,468
17,10053466,900,1351,3852,560,617
18,10052021,1085,2044,4247,605,744
19,10050926,1198,2647,4435,650,890
20,10049061,1660,3429,4898,732,966
21,10047474,2011,3776,5500,767,1218
22,10046097,2368,3867,6171,823,1420
23,10044526,2485,4263,6953,879,1640
24,10043033,3488,4057,7285,924,1959
