date,Abruzzo,Basilicata,Bolzano,Calabria,Campania,Emilia Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trento,Umbria,Valle d'Aosta,Veneto,Friuli V. G.
2020-02-24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,NA
2020-02-25,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,NA
2020-02-26,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,NA
2020-02-27,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,NA
2020-02-28,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,NA
2020-02-29,0,0,0,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,2,NA
2020-03-01,0,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,NA
2020-03-02,0,0,0,0,0,11,0,0,0,38,1,0,0,0,0,0,0,0,0,0,2,NA
2020-03-03,0,0,0,0,0,18,0,0,1,55,2,0,0,0,0,0,0,0,0,0,3,NA
2020-03-04,0,0,0,0,0,22,0,0,1,73,4,0,0,1,0,0,0,0,0,0,6,NA
2020-03-05,0,0,0,0,0,30,0,0,3,98,4,0,2,1,0,0,0,0,0,0,10,NA
2020-03-06,0,0,0,0,0,37,0,1,3,135,4,0,4,1,0,0,0,0,0,0,12,NA
2020-03-07,0,0,0,0,0,48,0,1,4,154,6,0,5,2,0,0,0,0,0,0,13,NA
2020-03-08,0,0,0,0,0,56,1,3,6,267,7,0,5,3,0,0,0,0,0,0,18,NA
2020-03-09,0,0,0,0,0,70,1,5,7,333,10,0,13,3,0,0,1,0,0,0,20,NA
2020-03-10,1,0,0,0,0,85,NA,6,8,468,13,0,17,3,0,0,1,0,0,0,26,3
